"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest"
"125",3358,"Landkreis Heidekreis",2013,"3358y2013",828,483,61,268,353,8,51,1181,171,2017,134,389,1
"126",3359,"Stade",2013,"3359y2013",710,443,61,231,367,6,112,1189,157,2647,109,261,1
"127",3360,"Uelzen",2013,"3360y2013",312,241,34,96,145,2,35,649,88,1173,33,69,1
"128",3361,"Verden",2013,"3361y2013",544,444,69,171,260,9,53,782,79,1712,198,546,1
"129",3401,"Delmenhorst",2013,"3401y2013",428,325,11,156,248,0,82,628,105,1775,83,219,1
"130",3402,"Emden",2013,"3402y2013",380,215,7,153,195,0,32,597,48,1433,16,60,1
"131",3403,"Oldenburg (Oldenburg)",2013,"3403y2013",807,514,47,279,439,5,134,1534,422,3762,83,292,1
"132",3404,"Osnabrück",2013,"3404y2013",1032,759,49,556,816,5,219,1624,420,4324,143,397,1
"133",3405,"Wilhelmshaven",2013,"3405y2013",617,298,30,275,369,3,72,986,48,1859,66,193,1
"134",3451,"Ammerland",2013,"3451y2013",323,245,21,100,140,4,25,583,129,1252,47,152,1
"135",3452,"Aurich",2013,"3452y2013",979,423,27,390,467,3,56,1340,120,2720,59,293,1
"136",3453,"Cloppenburg",2013,"3453y2013",684,450,35,193,249,0,38,805,75,1918,63,211,1
"137",3454,"Emsland",2013,"3454y2013",1434,777,84,509,647,7,100,1476,83,4230,130,420,1
"138",3455,"Friesland",2013,"3455y2013",523,214,13,144,189,5,30,806,38,1278,49,147,1
"139",3456,"Grafschaft Bentheim",2013,"3456y2013",469,301,26,171,225,2,45,649,60,1805,56,190,1
"140",3457,"Leer",2013,"3457y2013",635,434,39,193,263,3,52,933,50,2178,72,242,1
"141",3458,"Oldenburg",2013,"3458y2013",432,332,36,141,177,3,26,722,89,1567,65,226,1
"142",3459,"Osnabrück",2013,"3459y2013",902,1218,85,291,455,7,118,1736,264,3972,195,513,1
"143",3460,"Vechta",2013,"3460y2013",494,552,27,224,312,5,69,789,53,2228,99,236,1
"144",3461,"Wesermarsch",2013,"3461y2013",342,143,11,132,177,3,31,613,51,1146,64,176,1
"145",3462,"Wittmund",2013,"3462y2013",246,80,13,79,97,1,8,326,16,611,4,36,1
"146",4011,"Bremen",2013,"4011y2013",3979,6016,256,1529,2639,14,1018,5019,788,17952,965,2577,1
"147",4012,"Bremerhaven",2013,"4012y2013",981,597,52,334,588,7,223,1619,295,3357,358,862,1
"148",5111,"Düsseldorf",2013,"5111y2013",3894,7527,404,1463,2609,12,1023,4561,435,25425,1463,2680,1
"149",5112,"Duisburg",2013,"5112y2013",2835,3542,191,1160,1879,22,638,4516,417,12210,830,1670,1
"150",5113,"Essen",2013,"5113y2013",2595,4266,290,1136,1924,11,699,4634,861,13912,1228,2381,1
"151",5114,"Krefeld",2013,"5114y2013",1562,1533,131,460,733,2,239,2152,287,5745,416,846,1
"152",5116,"Mönchengladbach",2013,"5116y2013",1269,1610,108,575,853,8,234,2317,546,5476,365,786,1
"153",5117,"Mülheim an der Ruhr",2013,"5117y2013",599,1028,68,242,389,4,126,1435,330,3241,291,619,1
"154",5119,"Oberhausen",2013,"5119y2013",1181,1461,68,370,581,4,187,1671,83,4424,506,982,1
"155",5120,"Remscheid",2013,"5120y2013",661,364,27,173,249,1,66,934,61,1583,115,242,1
"156",5122,"Solingen",2013,"5122y2013",725,743,47,248,368,3,108,1542,288,3151,185,429,1
"157",5124,"Wuppertal",2013,"5124y2013",2470,2105,115,650,1152,6,451,3450,487,7724,414,842,1
"158",5154,"Kleve",2013,"5154y2013",1097,1285,131,345,515,6,148,2187,128,5829,259,573,1
"159",5158,"Mettmann",2013,"5158y2013",2037,2409,227,687,945,10,219,3578,343,8376,675,1586,1
"160",5162,"Rhein-Kreis Neuss",2013,"5162y2013",1657,2318,232,478,748,2,224,3065,327,8756,697,1544,1
"161",5166,"Viersen",2013,"5166y2013",943,1006,112,287,425,6,114,1842,225,4570,381,782,1
