"","district","DistrictName","MurderRate","lon","lat"
"362",15083,"Börde",4.62548061634529,NA,NA
"363",15084,"Burgenlandkreis",4.32535305694327,11.8641865,51.1224831
"364",15085,"Harz",2.26200332062087,10.2383609,51.8095249
"365",15086,"Jerichower Land",1.09026286237612,11.9127117,52.1858859
"366",15087,"Mansfeld-Südharz",0.698099772419474,NA,NA
"367",15088,"Saalekreis",2.13117374393947,11.857969,51.37795
"368",15089,"Salzlandkreis",6.54203255919281,11.5833881,51.8325635
"369",15090,"Stendal",1.73203661525405,11.8517729,52.6041444
"370",15091,"Wittenberg",0,12.6279659,51.8739831
"371",16051,"Erfurt",2.92854353768059,11.0298799,50.9847679
"372",16052,"Gera",1.0528864883077,12.0807203,50.8850706
"373",16053,"Jena",2.78605856295099,11.5892372,50.927054
"374",16054,"Suhl",0,10.6881255,50.6076846
"375",16055,"Weimar",1.57940456447919,11.3235439,50.9794934
"376",16056,"Eisenach",7.21726369475786,10.3146872,50.9795715
"377",16061,"Eichsfeld",3.96231835246803,10.2428459,51.3618942
"378",16062,"Nordhausen",3.51370344342937,10.791581,51.4990791
"379",16063,"Wartburgkreis",0,10.1708203,50.8615247
"380",16064,"Unstrut-Hainich-Kreis",1.9185572449518,10.5099608,51.1686553
"381",16065,"Kyffhäuserkreis",5.15092201504069,NA,NA
"382",16066,"Schmalkalden-Meiningen",0.796343192062051,10.3649026,50.6343486
"383",16067,"Gotha",1.47978247197662,10.7092884,50.9469188
"384",16068,"Sömmerda",0,NA,NA
"385",16069,"Hildburghausen",3.07540902940091,10.7312097,50.4263293
"386",16070,"Ilm-Kreis",0,10.8970001,50.7113006
"387",16071,"Weimarer Land",1.22393028493097,11.4454373,51.0165423
"388",16072,"Sonneberg",0,11.1709899,50.3601821
"389",16073,"Saalfeld-Rudolstadt",1.81312156073504,11.3311193,50.6694981
"390",16074,"Saale-Holzland-Kreis",2.38092403661861,11.7602014,50.8793067
"391",16075,"Saale-Orla-Kreis",0,11.7325506,50.5453057
"392",16076,"Greiz",1.95757925749019,12.2077126,50.6585555
"393",16077,"Altenburger Land",2.13663800010683,12.317,50.967
