"","district","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal"
"456",14729,220400,68.8,68348,22681,4899,4292,29716,19269
"457",14730,168695,66.4,49473,16970,3144,2912,22696,14968
"459",15001,72318,64.5,18585,8216,2364,1113,10633,5109
"460",15002,190752,65,44545,22418,9555,3695,30402,11688
"461",15003,194035,63.7,44064,25772,7647,2922,29446,11951
"462",15081,73649,63.2,19066,8669,1751,1006,11279,4054
"463",15082,145333,60.7,35921,14507,2307,2158,21732,9983
"464",15083,148289,61.7,39257,17628,2756,2665,18954,8670
"465",15084,159816,61.4,41204,15730,3033,2621,22883,11040
"466",15085,193368,58.8,49091,21133,4049,2521,24837,9895
"467",15086,79850,63,20950,9651,1525,1330,11281,4659
"468",15087,125416,60.5,29917,13139,1953,1892,19997,7676
"469",15088,162509,62.8,43662,16221,3013,3421,23713,10413
"470",15089,173180,59.1,41882,17982,2775,2603,25758,9458
"471",15090,98729,62.1,25589,11527,1791,1272,14901,5312
"472",15091,113636,65.2,32048,12138,2339,1779,16503,8220
"474",15101,NA,NA,NA,NA,NA,NA,NA,NA
"475",15151,NA,NA,NA,NA,NA,NA,NA,NA
"476",15153,NA,NA,NA,NA,NA,NA,NA,NA
"477",15154,NA,NA,NA,NA,NA,NA,NA,NA
"478",15159,NA,NA,NA,NA,NA,NA,NA,NA
"479",15171,NA,NA,NA,NA,NA,NA,NA,NA
"481",15202,NA,NA,NA,NA,NA,NA,NA,NA
"482",15256,NA,NA,NA,NA,NA,NA,NA,NA
"483",15260,NA,NA,NA,NA,NA,NA,NA,NA
"484",15261,NA,NA,NA,NA,NA,NA,NA,NA
"485",15265,NA,NA,NA,NA,NA,NA,NA,NA
"486",15266,NA,NA,NA,NA,NA,NA,NA,NA
"487",15268,NA,NA,NA,NA,NA,NA,NA,NA
"489",15303,NA,NA,NA,NA,NA,NA,NA,NA
"490",15352,NA,NA,NA,NA,NA,NA,NA,NA
"491",15355,NA,NA,NA,NA,NA,NA,NA,NA
"492",15357,NA,NA,NA,NA,NA,NA,NA,NA
"493",15358,NA,NA,NA,NA,NA,NA,NA,NA
"494",15362,NA,NA,NA,NA,NA,NA,NA,NA
