"","year","district","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"409",2013,13075,1473,180,186,684,0,423
"410",2013,13076,1469,154,148,724,0,443
"413",2013,14161,NA,NA,NA,NA,NA,NA
"414",2013,14166,NA,NA,NA,NA,NA,NA
"415",2013,14167,NA,NA,NA,NA,NA,NA
"416",2013,14171,NA,NA,NA,NA,NA,NA
"417",2013,14173,NA,NA,NA,NA,NA,NA
"418",2013,14177,NA,NA,NA,NA,NA,NA
"419",2013,14178,NA,NA,NA,NA,NA,NA
"420",2013,14181,NA,NA,NA,NA,NA,NA
"421",2013,14182,NA,NA,NA,NA,NA,NA
"422",2013,14188,NA,NA,NA,NA,NA,NA
"423",2013,14191,NA,NA,NA,NA,NA,NA
"424",2013,14193,NA,NA,NA,NA,NA,NA
"426",2013,14262,NA,NA,NA,NA,NA,NA
"427",2013,14263,NA,NA,NA,NA,NA,NA
"428",2013,14264,NA,NA,NA,NA,NA,NA
"429",2013,14272,NA,NA,NA,NA,NA,NA
"430",2013,14280,NA,NA,NA,NA,NA,NA
"431",2013,14284,NA,NA,NA,NA,NA,NA
"432",2013,14285,NA,NA,NA,NA,NA,NA
"433",2013,14286,NA,NA,NA,NA,NA,NA
"434",2013,14287,NA,NA,NA,NA,NA,NA
"435",2013,14290,NA,NA,NA,NA,NA,NA
"436",2013,14292,NA,NA,NA,NA,NA,NA
"438",2013,14365,NA,NA,NA,NA,NA,NA
"439",2013,14374,NA,NA,NA,NA,NA,NA
"440",2013,14375,NA,NA,NA,NA,NA,NA
"441",2013,14379,NA,NA,NA,NA,NA,NA
"442",2013,14383,NA,NA,NA,NA,NA,NA
"443",2013,14389,NA,NA,NA,NA,NA,NA
"445",2013,14511,1301,169,159,551,0,422
"446",2013,14521,2420,200,211,1453,0,556
"447",2013,14522,2159,218,234,1114,0,593
"448",2013,14523,1454,129,178,746,0,401
"449",2013,14524,2326,221,156,1223,0,726
"451",2013,14612,2843,244,246,1301,0,1052
"452",2013,14625,2198,197,248,1119,0,634
"453",2013,14626,1914,223,235,1012,0,444
"454",2013,14627,1721,145,179,961,0,436
"455",2013,14628,1603,164,136,910,0,393
"457",2013,14713,2865,412,328,1135,0,990
"458",2013,14729,1541,134,168,837,0,402
"459",2013,14730,1308,143,152,715,0,298
"461",2013,15001,492,58,34,243,0,157
"462",2013,15002,1506,159,172,633,0,542
"463",2013,15003,1354,131,108,625,0,490
"464",2013,15081,611,68,65,327,0,151
"465",2013,15082,963,118,110,498,0,237
"466",2013,15083,1091,82,91,649,0,269
"467",2013,15084,1155,119,84,547,0,405
"468",2013,15085,1497,123,123,830,0,421
"469",2013,15086,589,73,47,336,0,133
"470",2013,15087,817,130,80,427,0,180
"471",2013,15088,1065,107,81,661,0,216
"472",2013,15089,1320,139,149,728,0,304
"473",2013,15090,871,101,88,476,0,206
"474",2013,15091,791,71,72,469,0,179
"476",2013,15101,NA,NA,NA,NA,NA,NA
"477",2013,15151,NA,NA,NA,NA,NA,NA
"478",2013,15153,NA,NA,NA,NA,NA,NA
"479",2013,15154,NA,NA,NA,NA,NA,NA
"480",2013,15159,NA,NA,NA,NA,NA,NA
"481",2013,15171,NA,NA,NA,NA,NA,NA
"483",2013,15202,NA,NA,NA,NA,NA,NA
"484",2013,15256,NA,NA,NA,NA,NA,NA
"485",2013,15260,NA,NA,NA,NA,NA,NA
"486",2013,15261,NA,NA,NA,NA,NA,NA
"487",2013,15265,NA,NA,NA,NA,NA,NA
"488",2013,15266,NA,NA,NA,NA,NA,NA
"489",2013,15268,NA,NA,NA,NA,NA,NA
"491",2013,15303,NA,NA,NA,NA,NA,NA
"492",2013,15352,NA,NA,NA,NA,NA,NA
"493",2013,15355,NA,NA,NA,NA,NA,NA
"494",2013,15357,NA,NA,NA,NA,NA,NA
"495",2013,15358,NA,NA,NA,NA,NA,NA
"496",2013,15362,NA,NA,NA,NA,NA,NA
"497",2013,15363,NA,NA,NA,NA,NA,NA
