"","district","district_year","districtName","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"224",8437,"8437y2013",NA,408,144,176,4,16,564,1743,100,274,883,0,486,2692,298,4.3
"225",9161,"9161y2013",NA,1071,315,378,9,44,617,1708,75,323,749,0,561,2539,259,4
"226",9162,"9162y2013",NA,8816,3339,4070,37,541,4688,11473,684,2489,4541,0,3759,39775,2795,5.9
"227",9163,"9163y2013",NA,721,208,252,6,24,225,1027,64,180,447,0,336,1632,143,5.7
"228",9171,"9171y2013",NA,404,107,133,4,20,557,1243,40,291,624,0,288,2138,231,4.1
"229",9172,"9172y2013",NA,339,66,101,5,20,516,1073,49,264,523,0,237,1999,187,4.7
"230",9173,"9173y2013",NA,390,90,113,3,18,699,1508,33,297,725,0,453,1942,169,3.4
"231",9174,"9174y2013",NA,435,104,140,1,21,591,1523,76,423,637,0,387,1983,220,2.8
"232",9175,"9175y2013",NA,321,109,138,2,18,533,1418,81,209,623,0,505,1734,149,2.8
"233",9176,"9176y2013",NA,265,93,110,0,7,594,1321,23,266,746,0,286,945,119,1.5
"234",9177,"9177y2013",NA,409,115,142,1,15,580,1440,40,402,658,0,340,1584,158,2.4
"235",9178,"9178y2013",NA,459,142,175,0,18,692,1844,68,356,971,0,449,2460,220,2.9
"236",9179,"9179y2013",NA,608,136,176,3,29,862,2139,58,362,879,0,840,3456,297,3.5
"237",9180,"9180y2013",NA,250,64,76,4,5,728,1006,22,195,419,0,370,1728,153,4.5
"238",9181,"9181y2013",NA,335,78,103,3,11,664,1457,78,303,691,0,385,1751,170,3.3
"239",9182,"9182y2013",NA,256,86,105,4,6,1010,1005,30,221,554,0,200,1466,113,3.4
"240",9183,"9183y2013",NA,384,86,121,4,17,487,1429,72,345,716,0,296,2301,247,4.4
"241",9184,"9184y2013",NA,740,283,348,2,46,1649,2916,98,393,1016,0,1409,5188,346,3.5
"242",9185,"9185y2013",NA,402,115,140,0,12,497,1194,43,255,656,0,240,1173,135,2.6
"243",9186,"9186y2013",NA,526,144,167,6,13,567,1197,75,309,531,0,282,1402,161,2.4
"244",9187,"9187y2013",NA,830,191,224,9,17,1408,2478,107,527,1318,0,526,3653,403,3.2
"245",9188,"9188y2013",NA,285,91,124,3,19,846,1185,42,154,452,0,537,1809,118,3.3
"246",9189,"9189y2013",NA,593,163,195,6,19,982,2064,80,445,1046,0,493,2829,291,3.6
"247",9190,"9190y2013",NA,424,87,104,1,14,615,1657,59,350,838,0,410,1952,225,3.2
"248",9261,"9261y2013",NA,774,192,236,1,38,300,1114,36,162,565,0,351,1693,157,5.5
"249",9262,"9262y2013",NA,421,113,148,6,27,340,898,33,143,445,0,277,1395,131,6.3
"250",9263,"9263y2013",NA,423,113,154,1,23,247,981,49,176,399,0,357,1369,165,6.4
"251",9271,"9271y2013",NA,575,154,185,4,17,568,1407,51,324,708,1,323,2151,234,3.8
