"","year","district","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"997",2013,15089,12795,727,13.2
"998",2013,15090,8445,698,14.9
"999",2013,15091,7546,611,12
"1001",2013,15101,NA,NA,NA
"1002",2013,15151,NA,NA,NA
"1003",2013,15153,NA,NA,NA
"1004",2013,15154,NA,NA,NA
"1005",2013,15159,NA,NA,NA
"1006",2013,15171,NA,NA,NA
"1008",2013,15202,NA,NA,NA
"1009",2013,15256,NA,NA,NA
"1010",2013,15260,NA,NA,NA
"1011",2013,15261,NA,NA,NA
"1012",2013,15265,NA,NA,NA
"1013",2013,15266,NA,NA,NA
"1014",2013,15268,NA,NA,NA
"1016",2013,15303,NA,NA,NA
"1017",2013,15352,NA,NA,NA
"1018",2013,15355,NA,NA,NA
"1019",2013,15357,NA,NA,NA
"1020",2013,15358,NA,NA,NA
"1021",2013,15362,NA,NA,NA
"1022",2013,15363,NA,NA,NA
"1023",2013,15364,NA,NA,NA
"1024",2013,15367,NA,NA,NA
"1025",2013,15369,NA,NA,NA
"1026",2013,15370,NA,NA,NA
"1028",2013,16051,9136,620,9.5
"1029",2013,16052,5861,427,13.2
"1030",2013,16053,3771,269,7.7
"1031",2013,16054,1430,124,8.3
"1032",2013,16055,2644,210,9.5
"1033",2013,16056,2049,169,10.5
"1034",2013,16061,3469,280,6.8
"1035",2013,16062,4638,362,11.6
"1036",2013,16063,4418,361,6.9
"1037",2013,16064,6288,503,12.3
"1038",2013,16065,4686,306,12.8
"1039",2013,16066,4434,316,7.1
"1040",2013,16067,5761,447,8.7
"1041",2013,16068,3820,285,10.7
"1042",2013,16069,2085,157,6.2
"1043",2013,16070,4737,363,9
"1044",2013,16071,3174,243,7.7
"1045",2013,16072,1428,143,5
"1046",2013,16073,4892,393,9.1
"1047",2013,16074,3390,249,8.1
"1048",2013,16075,3421,278,8.2
"1049",2013,16076,4740,280,9.7
"1050",2013,16077,5584,399,12.6
"543",2013,2,71557,5468,8.6
"891",2013,11,210083,19108,13.9
