"","district","Pop_0_17","Pop_18_24","Pop_25_44","Pop_45_64","Pop_over_65"
"381",12071,12.9,4.3,20.9,37.1,24.7
"382",12072,15.2,5.3,24.1,33.9,21.5
"383",12073,13.4,4.9,20.8,36.2,24.7
"385",13001,NA,NA,NA,NA,NA
"386",13002,NA,NA,NA,NA,NA
"387",13003,12.7,9.1,28,27.3,22.8
"388",13004,14,6.3,24.8,30.3,24.6
"389",13005,NA,NA,NA,NA,NA
"390",13006,NA,NA,NA,NA,NA
"391",13051,NA,NA,NA,NA,NA
"392",13052,NA,NA,NA,NA,NA
"393",13053,NA,NA,NA,NA,NA
"394",13054,NA,NA,NA,NA,NA
"395",13055,NA,NA,NA,NA,NA
"396",13056,NA,NA,NA,NA,NA
"397",13057,NA,NA,NA,NA,NA
"398",13058,NA,NA,NA,NA,NA
"399",13059,NA,NA,NA,NA,NA
"400",13060,NA,NA,NA,NA,NA
"401",13061,NA,NA,NA,NA,NA
"402",13062,NA,NA,NA,NA,NA
"403",13071,14.1,5.1,22.5,35.4,22.9
"404",13072,15.1,4.6,22.7,36.3,21.3
"405",13073,13.7,5.2,22.5,34.6,23.9
"406",13074,15.2,5.5,24.3,33.8,21.3
"407",13075,13.8,6.6,23.6,33.8,22.4
"408",13076,14.7,5,23,36.2,21.2
"411",14161,NA,NA,NA,NA,NA
"412",14166,NA,NA,NA,NA,NA
"413",14167,NA,NA,NA,NA,NA
"414",14171,NA,NA,NA,NA,NA
"415",14173,NA,NA,NA,NA,NA
"416",14177,NA,NA,NA,NA,NA
"417",14178,NA,NA,NA,NA,NA
"418",14181,NA,NA,NA,NA,NA
"419",14182,NA,NA,NA,NA,NA
"420",14188,NA,NA,NA,NA,NA
"421",14191,NA,NA,NA,NA,NA
"422",14193,NA,NA,NA,NA,NA
"424",14262,NA,NA,NA,NA,NA
"425",14263,NA,NA,NA,NA,NA
"426",14264,NA,NA,NA,NA,NA
"427",14272,NA,NA,NA,NA,NA
"428",14280,NA,NA,NA,NA,NA
"429",14284,NA,NA,NA,NA,NA
"430",14285,NA,NA,NA,NA,NA
"431",14286,NA,NA,NA,NA,NA
"432",14287,NA,NA,NA,NA,NA
"433",14290,NA,NA,NA,NA,NA
"434",14292,NA,NA,NA,NA,NA
"436",14365,NA,NA,NA,NA,NA
"437",14374,NA,NA,NA,NA,NA
"438",14375,NA,NA,NA,NA,NA
"439",14379,NA,NA,NA,NA,NA
"440",14383,NA,NA,NA,NA,NA
"441",14389,NA,NA,NA,NA,NA
"443",14511,13.3,6.6,24.8,28.5,26.8
"444",14521,14.3,4.7,22.3,33.4,25.4
"445",14522,14,5.3,22.6,32.3,25.8
"446",14523,13.3,4.7,21.9,32.7,27.3
"447",14524,13.5,5.1,22.2,32.4,26.9
"449",14612,15.2,9,30.3,24,21.5
"450",14625,14.8,4.6,22.5,32.9,25.3
"451",14626,13.9,4.8,21,33,27.4
"452",14627,14.8,4.6,22.8,32.3,25.5
"453",14628,15.1,4.7,23,31.7,25.5
"455",14713,14.3,8.3,31,24.9,21.5
"456",14729,14.5,4.7,22.5,33.8,24.5
"457",14730,14.2,4.8,23,34.3,23.8
"459",15001,12.1,5.2,21.5,32.3,28.9
"460",15002,13.7,9.3,26.9,26.7,23.4
"461",15003,13.3,8.6,26.6,27.9,23.6
"462",15081,14.7,5.3,22.9,34.8,22.3
"463",15082,12.8,5.3,22.2,34.1,25.5
"464",15083,14.5,5.1,23.9,35.1,21.4
"465",15084,12.9,4.8,22.2,34,26.1
"466",15085,13.2,5.1,22.1,33.8,25.8
"467",15086,13.7,4.8,22.5,35.3,23.7
"468",15087,12.7,4.7,21.3,34.5,26.9
"469",15088,13.8,5.1,23.3,34.4,23.3
"470",15089,13,5.2,22,33.8,26
"471",15090,14.1,5.5,22.1,35.2,23.1
"472",15091,12.8,4.8,21.3,35,26.1
"474",15101,NA,NA,NA,NA,NA
"475",15151,NA,NA,NA,NA,NA
"476",15153,NA,NA,NA,NA,NA
"477",15154,NA,NA,NA,NA,NA
"478",15159,NA,NA,NA,NA,NA
"479",15171,NA,NA,NA,NA,NA
"481",15202,NA,NA,NA,NA,NA
"482",15256,NA,NA,NA,NA,NA
"483",15260,NA,NA,NA,NA,NA
"484",15261,NA,NA,NA,NA,NA
"485",15265,NA,NA,NA,NA,NA
"486",15266,NA,NA,NA,NA,NA
"487",15268,NA,NA,NA,NA,NA
"489",15303,NA,NA,NA,NA,NA
"490",15352,NA,NA,NA,NA,NA
"491",15355,NA,NA,NA,NA,NA
"492",15357,NA,NA,NA,NA,NA
"493",15358,NA,NA,NA,NA,NA
"494",15362,NA,NA,NA,NA,NA
"495",15363,NA,NA,NA,NA,NA
"496",15364,NA,NA,NA,NA,NA
"497",15367,NA,NA,NA,NA,NA
"498",15369,NA,NA,NA,NA,NA
"499",15370,NA,NA,NA,NA,NA
"501",16051,14.5,7.9,27.8,28.6,21.2
"502",16052,12.4,5.5,22.5,32.8,26.8
"503",16053,13.6,11,31.2,23.8,20.3
"504",16054,11.2,4.7,20.3,35.1,28.7
"505",16055,15.4,8.2,27.6,27.1,21.7
"506",16056,13.9,5.5,25.1,30.2,25.3
"507",16061,16,5.8,25.1,31.9,21.1
"508",16062,13.8,6,23.1,32.3,24.7
"509",16063,14,5.1,24,33.9,23
"510",16064,15,5.5,23.5,33,23
"511",16065,13.4,5,22.1,34.8,24.7
"512",16066,13.2,5.5,23.5,33.9,23.9
"513",16067,14.5,5.1,23.8,33.1,23.4
"514",16068,14.5,5,24.1,34.7,21.7
"515",16069,13.8,5.2,24.5,34.2,22.3
"516",16070,13.5,6.4,24,32.3,23.8
"517",16071,15.5,4.7,24,34.7,21.1
"518",16072,12.7,4.7,23,34.2,25.5
"519",16073,12.9,4.6,22,33.7,26.7
"520",16074,14.3,4.9,23.2,34.3,23.2
"521",16075,13.9,4.9,22.7,34.1,24.3
"522",16076,13.1,4.4,21.1,35.2,26.2
"523",16077,12.5,4.5,21.4,34,27.7
"16",2,15.9,7.9,30.8,26.6,18.8
"364",11,15.3,7.7,30.2,27.8,19.1
