"","district","FoundationsDensity100k","FoundationsTotal"
"364","Würzburg, Landkreis",7,11
"365","Meißen, Landkreis",6.9,17
"366","Dahme-Spreewald, Landkreis",6.9,11
"367","Oberspreewald-Lausitz, Landkreis",6.8,8
"368","Pfaffenhofen a.d.Ilm, Landkreis",6.8,8
"369","Bottrop, Kreisfreie Stadt",6.8,8
"370","Hamm, Kreisfreie Stadt",6.8,12
"371","Gotha, Kreis",6.6,9
"372","Zwickau, Landkreis",6.6,22
"373","Leipzig, Landkreis",6.5,17
"374","Gera, krsfr. Stadt",6.3,6
"375","Südwestpfalz, Landkreis",6.1,6
"376","Salzgitter, Kreisfreie Stadt",6.1,6
"377","Bautzen, Landkreis",6.1,19
"378","Ostprignitz-Ruppin, Landkreis",6,6
"379","Saale-Orla-Kreis",5.9,5
"380","Saalekreis",5.8,11
"381","Kaiserslautern, Landkreis",5.7,6
"382","Dachau, Landkreis",5.7,8
"383","Alzey-Worms, Landkreis",5.6,7
"384","Nordsachsen, Landkreis",5.5,11
"385","Wartburgkreis",5.5,7
"386","Kyffhäuserkreis",5,4
"387","Teltow-Fläming, Landkreis",5,8
"388","Cottbus, Kreisfreie Stadt",5,5
"389","Erding, Landkreis",4.7,6
"390","Erlangen-Höchstadt, Landkreis",4.6,6
"391","Herne, Kreisfreie Stadt",4.5,7
"392","Oder-Spree, Landkreis",4.5,8
"393","Märkisch-Oderland, Landkreis",4.3,8
"394","Landkreis Rostock",4.2,9
"395","Spree-Neiße, Landkreis",4.1,5
"396","Potsdam-Mittelmark, Landkreis",3.4,7
"397","Sonneberg, Kreis",3.4,2
"398","Havelland, Landkreis",3.3,5
"399","Cochem-Zell, Landkreis",3.1,2
"400","Oberhavel, Landkreis",3,6
"401","Greiz, Kreis",2.9,3
"402","Suhl, Kreisfreie Stadt",2.7,1
